,Ttile,Summmary,DateTime,URL
33,Tata HBX launch confirmed for FY2021,Tata will likely be launching as many as three new products in the coming months of 2020 and here we have listed them.,2020-03-25T03:00:00Z,https://www.news.google.com/./articles/CBMiS2h0dHBzOi8vZ2FhZGl3YWFkaS5jb20vdGF0YS1tb3RvcnMtdG8tbGF1bmNoLTMtbmV3LWNhcnMtdGhpcy15ZWFyLWluLWluZGlhL9IBT2h0dHBzOi8vZ2FhZGl3YWFkaS5jb20vdGF0YS1tb3RvcnMtdG8tbGF1bmNoLTMtbmV3LWNhcnMtdGhpcy15ZWFyLWluLWluZGlhL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen
34,"OYO offers free stay to doctors, nurses in US amid coronavirus crisis","NEW YORK: Ivanka Trump, the senior advisor to President Donald Trump, has lauded an initiative by Ritesh Agarwal-founded Indian start-up OYO Hotels to offer ...",2020-03-25T06:20:00Z,https://www.news.google.com/./articles/CBMiugFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbWFnYXppbmVzL3BhbmFjaGUvY29yb25hLWNyaXNpcy1veW8tb2ZmZXJzLWZyZWUtc3RheXMtdG8tZG9jdG9ycy1udXJzZXMtaW4tdXMtaXZhbmthLXRydW1wLXBheXRtLWJvc3MtYm93bGVkLW92ZXItYnktZ2VzdHVyZS9hcnRpY2xlc2hvdy83NDgwNDQ0NC5jbXPSAbUBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL21hZ2F6aW5lcy9wYW5hY2hlL2Nvcm9uYS1jcmlzaXMtb3lvLW9mZmVycy1mcmVlLXN0YXlzLXRvLWRvY3RvcnMtbnVyc2VzLWluLXVzLWl2YW5rYS10cnVtcC1wYXl0bS1ib3NzLWJvd2xlZC1vdmVyLWJ5LWdlc3R1cmUvYW1wX2FydGljbGVzaG93Lzc0ODA0NDQ0LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen
35,Reserve Bank of India's US treasury holdings touch an all-time high at $164.3 billion,"In an interview with news agency PTI, Bimal Jalan, who served as the head of the Reserve Bank of India for a period of six years, said, “I don't think we should ...",2020-03-24T08:04:08Z,https://www.news.google.com/./articles/CAIiEOWqaY9MuDCZYdJXsLp_ZYgqGQgEKhAIACoHCAow55veCjDzvdUBMIPh5gU?hl=en-IN&gl=IN&ceid=IN%3Aen
36,Image of COVID-19 test kit shared as newly developed 'coronavirus vaccine' by Roche,"Fact Check of Coronavirus Vaccine: As the whole world has almost come to a standstill due to the outbreak of the coronavirus, a message, along with a picture, ...",2020-03-23T19:45:10Z,https://www.news.google.com/./articles/CAIiEMT3ywPEN-lXjtDWOllfPkkqGQgEKhAIACoHCAowwqP5CjDypeECMI6VwgU?hl=en-IN&gl=IN&ceid=IN%3Aen
37,Soon A Chaas From Coca-Cola,New Delhi: Beverage maker Coca-Cola on Tuesday said it has temporarily suspended production at its manufacturing facilities following the lockdown imposed ...,2020-03-24T15:18:10Z,https://www.news.google.com/./articles/CBMihgFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL25ld3MvY292aWQtMTktY29jYS1jb2xhLW5lc3RsZS1vdGhlci1iZXZlcmFnZS1tYWtlcnMtc3VzcGVuZC1wcm9kdWN0aW9uLWZvci1ub3ctMTE1ODUwNTkzNjc5ODkuaHRtbNIBigFodHRwczovL3d3dy5saXZlbWludC5jb20vY29tcGFuaWVzL25ld3MvY292aWQtMTktY29jYS1jb2xhLW5lc3RsZS1vdGhlci1iZXZlcmFnZS1tYWtlcnMtc3VzcGVuZC1wcm9kdWN0aW9uLWZvci1ub3cvYW1wLTExNTg1MDU5MzY3OTg5Lmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen
38,"Amid 21-day nationwide lockdown, financial markets to continue functioning",Association of National Exchanges Members of India (ANMI) on March 23 requested capital market regulator SEBI to shut down stock exchanges if state ...,2020-03-24T08:22:00Z,https://www.news.google.com/./articles/CBMihAFodHRwczovL3d3dy5tb25leWNvbnRyb2wuY29tL25ld3MvdHJlbmRzL2FubWktcmVxdWVzdHMtc2ViaS10by1zaHV0LXN0b2NrLW1hcmtldC1pZi1zdGF0ZS1nb3Z0cy1kby1ub3Qtc3VwcG9ydC1zZXJ2aWNlcy01MDY2NTkxLmh0bWzSAYgBaHR0cHM6Ly93d3cubW9uZXljb250cm9sLmNvbS9uZXdzL3RyZW5kcy9hbm1pLXJlcXVlc3RzLXNlYmktdG8tc2h1dC1zdG9jay1tYXJrZXQtaWYtc3RhdGUtZ292dHMtZG8tbm90LXN1cHBvcnQtc2VydmljZXMtNTA2NjU5MS5odG1sL2FtcA?hl=en-IN&gl=IN&ceid=IN%3Aen
39,Fuel bunks in Kerala begin supply of BS-VI fuel,NEW DELHI : Petrol and diesel prices were left unchanged for the ninth consecutive day today by state-run fuel retailers as India entered into a 21-day ...,2020-03-25T03:27:00Z,https://www.news.google.com/./articles/CBMieGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL2luZGlhL3BldHJvbC1kaWVzZWwtcHJpY2UtdG9kYXktbm8tcmF0ZS1jdXQtZm9yLTktZGF5cy1kZW1hbmQtcGx1bW1ldHMtMTE1ODUxMDM2MjczMTAuaHRtbNIBfGh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9uZXdzL2luZGlhL3BldHJvbC1kaWVzZWwtcHJpY2UtdG9kYXktbm8tcmF0ZS1jdXQtZm9yLTktZGF5cy1kZW1hbmQtcGx1bW1ldHMvYW1wLTExNTg1MTAzNjI3MzEwLmh0bWw?hl=en-IN&gl=IN&ceid=IN%3Aen
40,HUL share price jumps 6% after acquiring hygiene brand 'VWash' from Glenmark,"The FMCG major's market valuation rose by Rs 33817.07 crore to Rs 4,39188.07 crore.",2020-03-24T16:09:34Z,https://www.news.google.com/./articles/CAIiEOZ7MqPj_XBVcXZY1F9ZbeAqGQgEKhAIACoHCAow2pqGCzD954MDMJzyigY?hl=en-IN&gl=IN&ceid=IN%3Aen
41,Domestic flights suspended: Worried if you will get a refund? Check out what airlines are offering,Coronavirus Outbreak: IndiGo confirms no deduction of salaries or leaves of employees during domestic flight suspension,2020-03-24T11:27:00Z,https://www.news.google.com/./articles/CAIiEFbclW9sER-bkSWjAGv7mo4qGAgEKg8IACoHCAow5v6PATDrwA8wr93OBg?hl=en-IN&gl=IN&ceid=IN%3Aen
42,DPIIT Urges State Govts To Allow Ecommerce Deliver Essential Items,"BENGALURU: Delivery of essential items such as food, groceries and medical supplies, ordered by customers from ecommerce sites, has been disrupted even ...",2020-03-25T05:28:00Z,https://www.news.google.com/./articles/CBMiogFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vc21hbGwtYml6L3N0YXJ0dXBzL25ld3NidXp6L2Rlc3BpdGUtZ292dC1jbGVhcmFuY2UtZWNvbW0tY29zLWZpbmQtaXQtZGlmZmljdWx0LXRvLWRlbGl2ZXItZXNzZW50aWFscy9hcnRpY2xlc2hvdy83NDgwMzAzNi5jbXPSAZ0BaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL3NtYWxsLWJpei9zdGFydHVwcy9uZXdzYnV6ei9kZXNwaXRlLWdvdnQtY2xlYXJhbmNlLWVjb21tLWNvcy1maW5kLWl0LWRpZmZpY3VsdC10by1kZWxpdmVyLWVzc2VudGlhbHMvYW1wX2FydGljbGVzaG93Lzc0ODAzMDM2LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen
